ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
47;"ПНА №036.1 ПЕРЕПАД ДАВЛЕНИЯ НЕФТИ НА ФИЛЬТР-РЕШЕТКЕ";"PT553";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";14772;8;"1";"1";"1";"0";"1";11248;0;"PNA036_1.PT553";"ПНА №036.1";"Перепад давления"
48;"ПНА №036.1 СИЛА ТОКА";"CT551";"А";"0";"0";"0";"0";"0";"21,7";"0";"0";"0";"0";"0";"0";"0";"300";"0";"3,7";"20,3";14804;8;"1";"1";"1";"0";"1";11252;0;"PNA036_1.CT551";"ПНА №036.1";"Сила тока МНА"
49;"ПНА №036.1 ВЫХОДНАЯ ЧАСТОТА";"ST551_2";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";14836;8;"1";"1";"1";"0";"1";11256;0;"PNA036_1.ST551_2";"ПНА №036.1";"Частота вращения вала ЭД НА"
50;"ПНА №036.3 ТЕМПЕРАТУРА НИЖНЕГО ПОДШИПНИКА ЭД";"TT573";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14868;9;"1";"1";"1";"0";"1";11260;0;"PNA036_3.TT573";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
51;"ПНА №036.3 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 1)";"TT574_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14900;9;"1";"1";"1";"0";"1";11264;0;"PNA036_3.TT574_1";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
52;"ПНА №036.3 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 2)";"TT574_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14932;9;"1";"1";"1";"0";"1";11268;0;"PNA036_3.TT574_2";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
53;"ПНА №036.3 ТЕМПЕРАТУРА НЕФТИ НА ВЫХОДЕ";"TT577";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"50";"60";"0";"0";"150";"0";"3,7";"20,3";14964;9;"1";"1";"1";"0";"1";11272;0;"PNA036_3.TT577";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
54;"ПНА №036.3 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 1)";"TT578_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14996;9;"1";"1";"1";"0";"1";11276;0;"PNA036_3.TT578_1";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
55;"ПНА №036.3 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 2)";"TT578_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15028;9;"1";"1";"1";"0";"1";11280;0;"PNA036_3.TT578_2";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
56;"ПНА №036.3 ЧАСТОТА ВРАЩЕНИЯ ВАЛА ЭД";"ST571_1";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";15060;9;"1";"1";"1";"0";"1";11284;0;"PNA036_3.ST571_1";"ПНА №036.3";"Частота вращения вала ЭД НА"
57;"ПНА №036.3 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ГОРИЗОНТАЛЬНОЕ НАПРАВЛЕНИЕ)";"XT575";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";15092;9;"1";"1";"1";"0";"1";11288;0;"PNA036_3.XT575";"ПНА №036.3";"Вибрации насоса/двигателя"
58;"ПНА №036.3 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ПОПЕРЕЧНОЕ НАПРАВЛЕНИЕ)";"XT576";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";15124;9;"1";"1";"1";"0";"1";11292;0;"PNA036_3.XT576";"ПНА №036.3";"Вибрации насоса/двигателя"
59;"ПНА №036.3 АВАРИЙНЫЕ УТЕЧКИ НЕФТИ ЧЕРЕЗ ТОРЦЕВОЕ УПЛОТНЕНИЕ НАСОСА";"LC5714";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";15156;9;"1";"1";"1";"0";"2";11296;0;"PNA036_3.LC5714";"ПНА №036.3";"Дискретные параметры с контролем целостности"
60;"ПНА №036.3 ДАВЛЕНИЕ НЕФТИ НА ВХОДЕ";"PT571";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";15188;9;"1";"1";"1";"0";"1";11300;0;"PNA036_3.PT571";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
